INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date_col1,date_col2,date_col3,date_col4,date_col5
I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,,2018-09-02 13:00:00,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)",2011-01-01,2011-01-01,2011-01-01,2011-01-01,2011-01-01
I182070943,1402,Vandalism,VANDALISM,C11,347,,2018-08-21 00:00:00,2018,8,Tuesday,0,Part Two,HECLA ST,42.30682138,-71.06030035,"(42.30682138, -71.06030035)",2011-01-02,2011-01-02,2011-01-02,2011-01-02,2011-01-02
I182070941,3410,Towed,TOWED MOTOR VEHICLE,D4,151,,2018-09-03 19:27:00,2018,9,Monday,19,Part Three,CAZENOVE ST,42.34658879,-71.07242943,"(42.34658879, -71.07242943)",2011-01-03,2011-01-03,2011-01-03,2011-01-03,2011-01-03
I182070940,3114,Investigate Property,INVESTIGATE PROPERTY,D4,272,,2018-09-03 21:16:00,2018,9,Monday,21,Part Three,NEWCOMB ST,42.33418175,-71.07866441,"(42.33418175, -71.07866441)",2011-01-04,2011-01-04,2011-01-04,2011-01-04,2011-01-04
I182070938,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,,2018-09-03 21:05:00,2018,9,Monday,21,Part Three,DELHI ST,42.27536542,-71.09036101,"(42.27536542, -71.09036101)",2011-01-05,2011-01-05,2011-01-05,2011-01-05,2011-01-05
I182070936,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,398,,2018-09-03 21:09:00,2018,9,Monday,21,Part Three,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)",2011-01-06,2011-01-06,2011-01-06,2011-01-06,2011-01-06
I182070933,724,Auto Theft,AUTO THEFT,B2,330,,2018-09-03 21:25:00,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.08273259999999,"(42.30607218, -71.08273260)",2011-01-07,2011-01-07,2011-01-07,2011-01-07,2011-01-07
I182070932,3301,Verbal Disputes,VERBAL DISPUTE,B2,584,,2018-09-03 20:39:37,2018,9,Monday,20,Part Three,LAWN ST,42.32701648,-71.10555088,"(42.32701648, -71.10555088)",2011-01-08,2011-01-08,2011-01-08,2011-01-08,2011-01-08
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,2018-09-03 20:48:00,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",2011-01-09,2011-01-09,2011-01-09,2011-01-09,2011-01-09
I182070929,3301,Verbal Disputes,VERBAL DISPUTE,C11,364,,2018-09-03 20:38:00,2018,9,Monday,20,Part Three,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)",2011-01-10,2011-01-10,2011-01-10,2011-01-10,2011-01-10
